entity,department,employee_name,invoice_date,hours,dollars
10,1001000,John Smith,10/1/2024,16,7888
20,1002000,Harry Prince,10/2/2024,9,4395
10,1001000,Jane Smith,10/3/2024,8,7905
10,1001000,Tarzan Black,10/4/2024,3,5504
20,1004000,Phil Harmonic,10/5/2024,11,323
30,1002000,Suzy Queue,10/6/2024,7,3627
10,1002000,Monty Python,10/7/2024,3,4394
20,1003000,Shirley Temple,10/8/2024,13,4296
20,1005000,John Smith,10/9/2024,9,8716
10,1001000,Harry Prince,10/10/2024,13,6500
20,1002000,Jane Smith,10/11/2024,6,9894
10,1001000,Tarzan Black,10/12/2024,11,5112
10,1001000,Phil Harmonic,10/13/2024,10,4360
20,1004000,Suzy Queue,10/14/2024,17,7076
30,1002000,Monty Python,10/15/2024,13,2206
10,1002000,Shirley Temple,10/16/2024,12,2477
20,1003000,John Smith,10/17/2024,5,519
20,1005000,Harry Prince,10/18/2024,4,8709
10,1001000,Jane Smith,10/19/2024,5,9466
20,1002000,Tarzan Black,10/20/2024,16,2638
10,1001000,Phil Harmonic,10/21/2024,16,3114
10,1001000,Suzy Queue,10/22/2024,3,3245
20,1004000,Monty Python,10/23/2024,13,79
30,1002000,Shirley Temple,10/24/2024,18,7683
10,1002000,John Smith,10/25/2024,4,4176
20,1003000,Harry Prince,10/26/2024,12,9581
20,1005000,Jane Smith,10/27/2024,1,7437
10,1001000,Tarzan Black,10/28/2024,1,9969
20,1002000,Phil Harmonic,10/29/2024,12,5560
10,1001000,Suzy Queue,10/30/2024,1,5153
10,1001000,Monty Python,10/31/2024,2,1105
20,1004000,Shirley Temple,11/1/2024,16,7613
30,1002000,John Smith,11/2/2024,17,8432
10,1002000,Harry Prince,11/3/2024,5,7661
20,1003000,Jane Smith,11/4/2024,18,6098
20,1005000,Tarzan Black,11/5/2024,13,6618
10,1001000,Phil Harmonic,11/6/2024,1,2042
20,1002000,Suzy Queue,11/7/2024,12,2741
10,1001000,Monty Python,11/8/2024,1,821
10,1001000,Shirley Temple,11/9/2024,3,7631
20,1004000,Monty Python,11/10/2024,8,3806
30,1002000,Shirley Temple,11/11/2024,7,2371
10,1002000,John Smith,11/12/2024,1,5012
20,1003000,Harry Prince,11/13/2024,1,5604
20,1005000,Jane Smith,11/14/2024,3,1922
10,1001000,Tarzan Black,11/15/2024,17,2717
20,1002000,Phil Harmonic,11/16/2024,13,8221
10,1001000,Suzy Queue,11/17/2024,9,8803
10,1001000,Monty Python,11/18/2024,4,264
20,1004000,Shirley Temple,11/19/2024,18,5208
30,1002000,John Smith,11/20/2024,16,1235
10,1002000,Harry Prince,11/21/2024,2,9701
20,1003000,Jane Smith,11/22/2024,3,5396
20,1005000,Tarzan Black,11/23/2024,7,3696
10,1001000,Phil Harmonic,11/24/2024,7,1963
20,1002000,Suzy Queue,11/25/2024,5,3736
10,1001000,Monty Python,11/26/2024,12,4980
10,1001000,Shirley Temple,11/27/2024,12,1686
20,1004000,Monty Python,11/28/2024,14,869
